#Top: toplvl   Floorplan: elab_constrs_1   Part: xc6slx9tqg144-2
#Generated by: David Ayeke   on: Wed Mar 09 21:20:51 2016
#Build: PlanAhead v14.7   by: xbuild   on: Fri Sep 27 19:29:51 MDT 2013

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 1 unassigned signals in this design. The last 1 rows of this file list these signals.
################################################################################

IO Bank,BUFIO2 Region,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OUT_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,TL,P142,PAD3,IO_L2P_0,,,,,,data[7],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TL,P141,PAD4,IO_L2N_0,,,,,,data[6],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TL,P138,PAD7,IO_L4P_0,,,,,,data[5],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TL,P137,PAD8,IO_L4N_0,,,,,,data[4],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TR,P121,PAD35,IO_L62P_0,,,,,,data[3],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TR,P118,PAD38,IO_L63N_SCP6_0,,,,,,data[2],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TR,P117,PAD39,IO_L64P_SCP5_0,,,,,,data[1],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TR,P116,PAD40,IO_L64N_SCP4_0,,,,,,data[0],INOUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
1,RB,P79,PAD83,IO_L47P_1,,,,,,d_clk,IN,,,LVCMOS33,12,SLOW,,,,,,
1,RB,P78,PAD84,IO_L47N_1,,,,,,reset_h,IN,,,LVCMOS33,12,SLOW,,,,,,
1,RT,P97,PAD58,IO_L34N_1,,,,,,rxf_l,IN,,,LVCMOS33,12,SLOW,,,,,,
1,RT,P102,PAD53,IO_L32P_1,,,,,,txe_l,IN,,,LVCMOS33,12,SLOW,,,,,,
1,RT,P98,PAD57,IO_L34P_1,,,,,,oe_l,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
1,RB,P83,PAD79,IO_L45P_1,,,,,,rd_l,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
1,RT,P101,PAD54,IO_L32N_1,,,,,,wr_l,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
1,RB,P81,PAD81,IO_L46P_1,,,,,,siwua,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P33,PAD147,IO_L2P_3,,,,,,h_sync,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P35,PAD145,IO_L1P_3,,,,,,v_sync,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LT,P8,PAD189,IO_L51P_3,,,,,,r0,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LT,P7,PAD190,IO_L51N_3,,,,,,r1,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LT,P6,PAD191,IO_L52P_3,,,,,,r2,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
